"Population and dwelling counts: Canada and forward sortation areas © 1"
"Frequency: Occasional"
"Table: 98-10-0019-01"
"Release date: 2023-03-29"
"Geography: Canada, Forward sortation area"
"Universe: All persons, 2021 Census – 100% data"
"Variable List: Population and dwelling counts (3)"

"Population and dwelling counts (3)","Population, 2021","Total private dwellings, 2021","Private dwellings occupied by usual residents, 2021"
"L2E","18,587","9,017","8,340"
"L2G","30,344","13,412","12,531"
"L2H","29,820","10,594","10,340"
"L2J","14,908","6,369","6,206"
"L2M","33,704","14,869","14,443"
"L2N","30,719","13,827","13,244"
"L2P","15,128","6,706","6,432"
"L2R","25,558","13,117","12,003"
"L2S","19,400","7,837","7,586"
"L2T","11,401","5,309","4,876"
"L2V","19,795","8,400","7,738"
"L2W","1,959","686","677"
"L3B","25,869","11,617","11,047"
"L3C","33,462","14,273","13,870"
"L3K","19,458","9,086","8,481"
"L3L","879","257","242"
"L3M","28,433","11,465","11,237"
"L3P","37,336","12,978","12,631"
"L3R","62,060","21,994","21,099"
"L3S","55,403","15,734","14,976"
"L3T","50,405","20,672","19,869"
"L3V","48,651","22,293","20,346"
"L3X","45,284","14,261","13,946"
"L3Y","43,556","17,365","16,709"
"L3Z","41,072","13,290","12,821"
"L4A","50,389","17,366","16,906"
"L4B","36,080","13,301","12,878"
"L4C","74,636","30,129","28,600"
"L4E","54,606","17,103","16,620"
"L4G","62,061","22,255","21,508"
"L4H","77,353","22,218","21,863"
"L4J","75,120","26,995","26,252"
"L4K","20,172","8,679","7,764"
"L4L","55,426","20,428","19,845"
"L4M","46,902","19,372","18,401"
"L4N","100,835","37,801","36,749"
"L4P","29,861","11,365","10,817"
"L4R","19,245","8,901","8,428"
"L4S","36,688","11,480","11,212"
"L4T","38,182","12,302","11,437"
"L4V","5","1","1"
"L4W","19,744","7,358","7,150"
"L4X","18,719","7,074","6,769"
"L4Y","23,490","9,118","8,863"
"L4Z","37,218","13,241","12,815"
"L5A","47,406","18,817","18,132"
"L5B","67,131","29,048","27,315"
"L5C","29,284","10,210","9,880"
"L5E","12,972","5,539","5,315"
"L5G","20,714","9,226","8,719"
"L5H","17,409","6,541","6,272"
"L5J","28,208","10,960","10,655"
"L5K","13,363","4,732","4,587"
"L5L","43,585","15,694","15,207"
"L5M","106,468","33,246","32,267"
"L5N","83,700","27,101","26,553"
"L5R","37,022","13,438","12,691"
"L5S","27","6","4"
"L5T","19","5","5"
"L5V","49,149","13,962","13,631"
"L5W","24,145","6,470","6,307"
"L6A","89,287","27,080","26,517"
"L6B","34,763","10,373","10,137"
"L6C","51,738","16,291","15,918"
"L6E","38,387","11,924","11,696"
"L6G","8,364","4,916","4,521"
"L6H","72,662","25,860","24,806"
"L6J","24,420","8,656","8,357"
"L6K","14,118","6,598","6,258"
"L6L","30,012","11,714","11,293"
"L6M","72,547","23,351","22,844"
"L6P","91,155","21,549","20,994"
"L6R","93,783","23,902","23,263"
"L6S","54,361","17,297","16,844"
"L6T","39,614","14,127","13,595"
"L6V","42,392","14,632","13,902"
"L6W","23,547","8,735","8,305"
"L6X","76,113","21,772","20,935"
"L6Y","97,601","28,798","27,587"
"L6Z","33,888","10,472","10,083"
"L7A","104,009","27,796","26,958"
"L7B","17,809","5,790","5,570"
"L7C","33,846","9,967","9,567"
"L7E","34,516","11,754","11,292"
"L7G","48,051","16,847","16,558"
"L7J","13,766","5,110","4,999"
"L7K","8,486","3,164","2,928"
"L7L","47,433","17,852","17,521"
"L7M","48,498","17,184","16,929"
"L7N","13,160","5,469","5,381"
"L7P","29,777","11,060","10,874"
"L7R","17,338","8,675","8,303"
"L7S","12,207","6,368","6,167"
"L7T","18,555","8,287","8,012"
"L8B","25,778","9,053","8,902"
"L8E","41,927","15,736","15,316"
"L8G","21,805","9,518","9,313"
"L8H","26,187","11,792","11,242"
"L8J","29,146","9,465","9,304"
"L8K","32,598","14,405","13,941"
"L8L","32,312","14,444","13,112"
"L8M","13,774","7,096","6,381"
"L8N","15,568","8,630","7,670"
"L8P","24,773","14,969","13,561"
"L8R","11,651","6,113","5,600"
"L8S","15,787","8,714","7,186"
"L8T","19,405","7,948","7,779"
"L8V","21,165","9,662","9,355"
"L8W","26,077","8,612","8,495"
"L9A","25,899","10,346","10,117"
"L9B","25,025","8,461","8,338"
"L9C","41,202","15,123","14,732"
"L9E","16,933","5,075","4,881"
"L9G","25,020","9,180","8,974"
"L9H","31,221","12,828","12,509"
"L9J","2,272","1,138","1,062"
"L9K","15,928","5,138","4,972"
"L9L","14,620","5,910","5,644"
"L9M","16,607","9,066","6,660"
"L9N","21,656","7,297","7,035"
"L9P","17,383","6,770","6,522"
"L9R","25,949","9,929","9,648"
"L9S","33,434","13,557","12,132"
"L9T","110,956","34,110","33,406"
"L9V","17,750","6,657","6,111"
"L9W","48,790","17,840","17,309"
"L9X","12,896","4,326","4,237"
"L9Y","28,925","17,262","13,077"
"L9Z","24,849","13,761","10,805"
"M1B","65,555","21,561","20,563"
"M1C","35,642","11,724","11,396"
"M1E","48,033","18,085","17,320"
"M1G","30,894","10,791","10,313"
"M1H","23,964","9,021","8,632"
"M1J","37,002","13,253","12,633"
"M1K","48,175","18,687","17,709"
"M1L","35,833","13,177","12,559"
"M1M","23,258","9,067","8,641"
"M1N","22,976","10,056","9,521"
"M1P","45,170","17,308","16,491"
"M1R","30,467","11,476","10,919"
"M1S","37,663","14,021","13,328"
"M1T","34,607","13,826","13,232"
"M1V","50,825","16,556","15,962"
"M1W","47,070","17,294","16,735"
"M1X","14,810","3,808","3,720"
"M2H","23,396","8,953","8,560"
"M2J","61,761","25,487","24,215"
"M2K","25,377","12,626","11,687"
"M2L","11,274","4,181","3,938"
"M2M","31,915","13,259","12,495"
"M2N","75,100","36,968","34,137"
"M2P","7,546","3,152","2,984"
"M2R","40,581","16,189","15,363"
"M3A","34,361","13,705","13,127"
"M3B","12,880","5,178","4,959"
"M3C","39,616","17,146","16,247"
"M3H","38,416","15,630","14,767"
"M3J","26,600","10,445","9,708"
"M3K","7,865","3,100","2,945"
"M3L","19,263","6,700","6,396"
"M3M","24,906","9,962","9,519"
"M3N","40,846","14,308","13,632"
"M4A","14,589","6,303","6,060"
"M4B","18,612","8,038","7,611"
"M4C","46,440","20,553","19,159"
"M4E","25,473","11,581","10,874"
"M4G","19,598","8,622","8,078"
"M4H","18,698","6,419","6,061"
"M4J","35,128","15,338","14,586"
"M4K","30,913","15,139","14,194"
"M4L","32,218","14,789","13,751"
"M4M","25,052","12,249","11,443"
"M4N","16,058","6,669","6,226"
"M4P","25,057","16,696","13,974"
"M4R","11,909","5,989","5,420"
"M4S","30,754","17,169","15,719"
"M4T","10,332","5,619","5,099"
"M4V","19,273","11,403","10,190"
"M4W","15,296","9,238","8,071"
"M4X","19,896","11,142","9,874"
"M4Y","36,319","26,472","22,734"
"M5A","48,978","30,508","27,320"
"M5B","17,422","13,071","10,544"
"M5C","3,149","2,306","1,884"
"M5E","11,779","8,246","7,270"
"M5G","9,751","7,198","5,738"
"M5H","3,248","2,355","1,886"
"M5J","16,879","11,928","10,158"
"M5M","25,495","9,726","9,275"
"M5N","16,154","6,724","6,293"
"M5P","19,791","10,417","9,537"
"M5R","26,197","16,591","13,845"
"M5S","17,074","10,971","9,018"
"M5T","17,903","10,452","9,012"
"M5V","59,912","42,449","37,165"
"M6A","22,380","9,803","9,211"
"M6B","28,534","11,630","10,997"
"M6C","23,997","11,093","10,196"
"M6E","37,684","16,172","14,852"
"M6G","30,600","14,329","13,032"
"M6H","43,730","21,284","19,264"
"M6J","32,111","17,027","15,453"
"M6K","42,110","25,403","22,726"
"M6L","20,156","7,721","7,323"
"M6M","42,148","16,883","15,913"
"M6N","40,252","16,981","15,956"
"M6P","39,870","20,750","19,019"
"M6R","19,349","9,255","8,479"
"M6S","34,029","15,343","14,517"
"M7A","5","5","3"
"M8V","44,144","24,434","22,829"
"M8W","22,381","9,994","9,402"
"M8X","10,624","4,814","4,580"
"M8Y","21,986","10,533","9,984"
"M8Z","19,312","7,784","7,461"
"M9A","36,642","16,604","15,708"
"M9B","33,236","13,246","12,698"
"M9C","38,725","15,834","15,315"
"M9L","11,737","4,082","3,772"
"M9M","24,245","8,500","8,165"
"M9N","26,059","11,272","10,463"
"M9P","20,645","8,199","7,901"
"M9R","33,783","12,898","12,417"
"M9V","53,878","17,463","16,653"
"M9W","40,977","14,820","14,169"
"N0A","31,957","14,737","13,054"
"N0B","86,919","31,269","30,135"
"N0C","17,537","8,191","6,657"
"N0E","36,557","15,375","13,742"
"N0G","86,935","35,896","32,741"
"N0H","53,674","34,400","23,288"
"N0J","33,457","12,005","11,515"
"N0K","24,817","9,419","9,059"
"N0L","49,817","19,408","18,789"
"N0M","69,177","32,011","27,634"
"N0N","42,297","18,752","16,933"
"N0P","53,140","23,162","21,267"
"N0R","50,203","19,287","18,131"
"N1A","12,614","5,563","4,997"
"N1C","3,678","1,237","1,222"
"N1E","44,799","18,055","17,506"
"N1G","29,688","12,853","11,514"
"N1H","42,178","18,802","18,048"
"N1K","10,908","3,787","3,675"
"N1L","17,474","6,722","6,177"
"N1M","18,498","7,546","7,222"
"N1P","7,991","2,526","2,506"
"N1R","42,928","18,081","17,337"
"N1S","20,171","8,187","7,918"
"N1T","18,513","5,647","5,578"
"N2A","32,454","12,178","11,833"
"N2B","16,939","7,329","7,149"
"N2C","17,681","7,494","7,284"
"N2E","40,428","14,544","14,233"
"N2G","14,580","8,284","7,802"
"N2H","22,456","11,453","10,783"
"N2J","20,899","10,672","9,476"
"N2K","29,381","10,815","10,576"
"N2L","37,953","19,681","16,193"
"N2M","36,494","16,113","15,506"
"N2N","26,596","9,145","9,014"
"N2P","25,040","8,848","8,474"
"N2R","18,445","5,835","5,678"
"N2T","20,634","7,109","6,994"
"N2V","19,428","6,360","6,261"
"N2Z","12,341","6,608","5,234"
"N3A","17,045","6,395","6,293"
"N3B","13,190","4,824","4,743"
"N3C","27,518","9,657","9,458"
"N3E","2,802","839","793"
"N3H","24,306","10,220","9,755"
"N3L","17,676","6,741","6,526"
"N3P","8,542","3,209","3,173"
"N3R","35,858","15,069","14,718"
"N3S","27,527","12,070","11,497"
"N3T","37,406","14,602","13,914"
"N3V","1,562","572","566"
"N3W","15,805","5,731","5,579"
"N3Y","23,402","10,382","9,922"
"N4B","8,223","3,459","3,341"
"N4G","21,519","9,509","9,207"
"N4K","28,975","13,555","12,877"
"N4L","8,337","4,293","3,716"
"N4N","10,341","4,849","4,392"
"N4S","33,055","14,516","13,973"
"N4T","15,161","5,543","5,436"
"N4V","3,477","1,360","1,312"
"N4W","13,311","5,221","5,052"
"N4X","9,946","4,195","4,066"
"N4Z","2,362","911","899"
"N5A","32,898","15,203","14,548"
"N5C","15,721","6,382","6,194"
"N5H","15,625","5,763","5,523"
"N5L","3,714","2,003","1,696"
"N5P","21,081","8,962","8,651"
"N5R","30,680","12,933","12,637"
"N5V","32,961","13,236","12,636"
"N5W","24,740","12,388","11,584"
"N5X","36,963","13,738","13,209"
"N5Y","35,934","16,194","15,292"
"N5Z","24,067","11,008","10,538"
"N6A","13,810","9,768","7,354"
"N6B","11,101","7,181","6,483"
"N6C","30,629","14,812","14,159"
"N6E","28,140","10,366","10,108"
"N6G","50,940","20,315","18,428"
"N6H","44,215","20,694","19,241"
"N6J","27,497","13,174","12,757"
"N6K","37,596","15,303","14,939"
"N6L","5,167","1,699","1,577"
"N6M","8,542","2,822","2,742"
"N6N","728","299","284"
"N6P","10,943","4,081","3,970"
"N7A","12,495","6,687","5,678"
"N7G","19,921","8,072","7,876"
"N7L","25,127","11,583","11,183"
"N7M","25,579","11,361","10,845"
"N7S","28,410","11,643","11,283"
"N7T","26,033","13,973","12,908"
"N7V","11,611","5,713","5,515"
"N7W","2,578","1,316","1,298"
"N7X","1,129","483","465"
"N8A","12,624","5,765","5,486"
"N8H","27,530","10,486","9,868"
"N8M","11,819","4,755","4,624"
"N8N","24,534","9,580","9,405"
"N8P","14,603","5,536","5,463"
"N8R","12,733","4,455","4,388"
"N8S","22,354","10,830","10,473"
"N8T","17,935","8,046","7,766"
"N8W","24,057","10,072","9,764"
"N8X","16,457","7,796","7,303"
"N8Y","19,254","9,686","9,132"
"N9A","26,107","14,264","12,567"
"N9B","19,613","8,223","7,350"
"N9C","12,538","5,838","5,347"
"N9E","21,465","7,779","7,578"
"N9G","20,712","6,728","6,606"
"N9H","13,173","4,737","4,582"
"N9J","20,089","7,389","7,262"
"N9K","2,757","862","854"
"N9V","21,688","8,790","8,505"
"N9Y","15,836","6,522","6,210"
"P0A","17,822","14,748","8,200"
"P0B","9,589","8,951","4,165"
"P0C","4,824","6,930","2,210"
"P0E","3,606","3,164","1,576"
"P0G","3,553","4,048","1,687"
"P0H","31,909","17,044","13,308"
"P0J","20,179","9,704","8,729"
"P0K","11,456","6,383","5,138"
"P0L","22,859","10,591","9,157"
"P0M","49,727","24,862","21,257"
"P0N","9,435","4,472","4,002"
"P0P","20,285","12,782","8,819"
"P0R","12,976","8,224","5,784"
"P0S","10,170","6,839","4,498"
"P0T","32,000","17,869","13,593"
"P0V","22,944","9,106","7,323"
"P0W","6,454","3,903","2,536"
"P0X","8,410","7,414","3,365"
"P0Y","96","226","55"
"P1A","16,959","7,785","7,432"
"P1B","33,113","16,526","15,244"
"P1C","3,371","1,197","1,174"
"P1H","18,099","10,316","7,696"
"P1L","17,984","9,535","7,521"
"P1P","11,083","6,921","4,605"
"P2A","14,695","10,034","6,469"
"P2B","9,754","4,606","4,368"
"P2N","6,944","3,943","3,407"
"P3A","24,326","10,701","10,312"
"P3B","16,434","8,194","7,582"
"P3C","17,596","10,143","8,928"
"P3E","29,132","14,139","13,204"
"P3G","4,167","1,807","1,633"
"P3L","7,996","3,288","3,177"
"P3N","7,980","3,121","3,060"
"P3P","15,408","6,009","5,852"
"P3Y","7,757","3,167","2,997"
"P4N","24,098","11,932","10,984"
"P4P","3,232","1,371","1,325"
"P4R","4,795","1,820","1,758"
"P5A","11,372","6,275","5,839"
"P5E","5,427","2,704","2,415"
"P5N","8,260","4,260","3,871"
"P6A","33,800","16,498","15,008"
"P6B","22,754","11,032","10,422"
"P6C","18,766","8,926","8,467"
"P7A","28,587","14,359","13,263"
"P7B","22,675","11,110","10,336"
"P7C","21,695","10,098","9,489"
"P7E","20,897","10,401","9,927"
"P7G","13,238","5,781","5,024"
"P7J","4,859","1,877","1,795"
"P7K","6,801","2,710","2,649"
"P7L","2,188","1,163","919"
"P8N","9,619","4,597","4,244"
"P8T","5,541","2,507","2,211"
"P9A","10,079","5,176","4,410"
"P9N","14,088","7,180","6,037"
"R0A","43,242","16,437","14,371"
"R0B","42,205","12,891","10,338"
"R0C","56,940","29,544","21,984"
"R0E","39,578","27,057","16,213"
"R0G","43,710","16,500","15,475"
"R0H","17,902","5,749","5,162"
"R0J","29,050","14,933","11,518"
"R0K","28,076","12,583","10,864"
"R0L","26,272","13,160","10,896"
"R0M","19,451","9,273","7,904"
"R1A","21,473","8,807","8,447"
"R1B","280","164","161"
"R1C","3,937","1,545","1,506"
"R1N","16,641","7,388","6,817"
"R2C","32,816","12,905","12,651"
"R2E","9,511","3,418","3,379"
"R2G","33,874","15,592","15,190"
"R2H","16,136","8,250","7,779"
"R2J","26,960","10,995","10,724"
"R2K","34,345","14,077","13,738"
"R2L","15,255","6,611","6,294"
"R2M","38,978","17,676","16,954"
"R2N","31,384","12,169","11,935"
"R2P","35,218","10,878","10,566"
"R2R","25,599","7,646","7,509"
"R2V","38,204","14,848","14,443"
"R2W","29,483","12,516","11,294"
"R2X","19,674","6,993","6,726"
"R2Y","19,849","8,598","8,383"
"R3A","5,156","2,276","1,927"
"R3B","12,545","7,190","6,136"
"R3C","16,798","11,402","9,586"
"R3E","19,009","7,360","6,815"
"R3G","25,200","11,243","10,540"
"R3H","116","44","42"
"R3J","28,343","13,080","12,574"
"R3K","12,431","5,421","5,328"
"R3L","20,725","12,201","11,350"
"R3M","22,203","11,041","10,470"
"R3N","16,591","7,579","7,292"
"R3P","20,616","8,840","8,476"
"R3R","25,743","10,604","10,366"
"R3S","603","194","190"
"R3T","50,190","20,702","19,534"
"R3V","6,416","2,500","2,432"
"R3W","16,173","5,857","5,682"
"R3X","22,304","7,679","7,495"
"R3Y","33,116","11,151","10,648"
"R4A","5,471","1,826","1,792"
"R4G","1,658","561","552"
"R4H","3,282","964","938"
"R4J","1,049","378","369"
"R4K","960","219","213"
"R4L","1,350","493","474"
"R5A","3,854","1,366","1,345"
"R5G","25,086","9,193","8,890"
"R5H","5,033","2,007","1,943"
"R5J","1,431","509","489"
"R5K","6,071","2,137","2,078"
"R5L","2,251","841","813"
"R5M","2,296","839","804"
"R5N","5,593","1,923","1,897"
"R5P","738","284","272"
"R5R","1,310","499","486"
"R5T","865","317","308"
"R6M","11,444","4,627","4,441"
"R6W","21,551","7,191","6,991"
"R7A","30,022","13,183","12,279"
"R7B","22,321","9,324","8,975"
"R7C","2,870","1,448","1,333"
"R7N","9,956","4,762","4,436"
"R8A","5,294","2,696","2,442"
"R8N","13,294","5,557","4,790"
"R9A","6,782","2,817","2,600"
"S0A","52,751","27,603","22,737"
"S0C","21,738","11,121","8,819"
"S0E","32,382","16,177","13,364"
"S0G","65,896","33,003","26,601"
"S0H","21,972","11,473","9,203"
"S0J","50,642","25,168","17,727"
"S0K","90,185","37,514","33,684"
"S0L","30,490","14,774","12,255"
"S0M","48,250","23,520","17,385"
"S0N","21,369","10,151","8,072"
"S0P","6,464","2,104","1,791"
"S2V","863","505","355"
"S3N","18,635","8,537","7,910"
"S4A","11,958","5,770","4,986"
"S4H","11,807","5,509","5,022"
"S4K","81","49","35"
"S4L","5,643","1,884","1,851"
"S4N","30,983","12,993","12,139"
"S4P","13,501","8,233","6,906"
"S4R","34,399","14,878","13,951"
"S4S","34,562","15,091","14,290"
"S4T","31,061","15,314","13,574"
"S4V","33,781","13,228","12,723"
"S4W","14,378","5,941","5,456"
"S4X","29,118","11,444","11,146"
"S4Y","5,669","2,033","1,979"
"S4Z","1,340","707","653"
"S6H","27,554","13,539","12,292"
"S6J","5,847","2,546","2,377"
"S6K","1,337","483","464"
"S6V","42,147","17,131","15,800"
"S6W","288","166","144"
"S6X","2,521","778","761"
"S7A","176","44","44"
"S7B","497","217","210"
"S7C","1,137","467","391"
"S7H","36,818","17,436","16,168"
"S7J","30,833","13,436","12,825"
"S7K","39,076","18,371","17,107"
"S7L","41,123","16,917","15,434"
"S7M","31,870","14,577","13,020"
"S7N","27,385","12,398","11,380"
"S7P","178","65","62"
"S7R","8,990","2,968","2,825"
"S7S","5,730","2,338","2,234"
"S7T","17,468","6,930","6,441"
"S7V","16,575","6,471","6,125"
"S7W","19,204","7,168","6,637"
"S9A","14,926","6,750","6,073"
"S9H","18,545","8,611","7,896"
"S9V","14,463","6,099","5,406"
"S9X","7,899","3,095","2,851"
"T0A","57,940","27,641","22,165"
"T0B","63,070","28,586","24,593"
"T0C","62,815","29,839","24,008"
"T0E","40,343","21,807","16,111"
"T0G","40,682","18,790","14,991"
"T0H","81,424","32,729","28,177"
"T0J","50,752","20,564","18,211"
"T0K","59,088","21,924","19,075"
"T0L","52,040","21,062","18,865"
"T0M","66,367","29,058","26,067"
"T0P","3,085","1,470","1,123"
"T1A","24,982","12,341","11,440"
"T1B","32,996","13,781","13,286"
"T1C","9,405","4,147","3,964"
"T1G","11,028","4,101","3,963"
"T1H","27,814","12,017","11,428"
"T1J","26,220","11,692","10,738"
"T1K","47,253","20,198","19,003"
"T1L","7,360","2,875","2,571"
"T1M","10,056","3,712","3,615"
"T1P","17,037","6,817","6,507"
"T1R","17,161","6,340","5,965"
"T1S","43,512","15,604","15,110"
"T1V","15,703","6,505","6,309"
"T1W","17,063","9,845","7,235"
"T1X","25,295","8,037","7,794"
"T1Y","52,860","18,409","17,210"
"T1Z","2,709","822","773"
"T2A","57,761","22,555","21,008"
"T2B","22,530","9,835","9,239"
"T2C","19,865","8,525","8,229"
"T2E","36,342","19,054","17,548"
"T2G","16,594","10,983","9,419"
"T2H","9,223","4,592","4,296"
"T2J","41,906","17,613","17,103"
"T2K","34,673","15,319","14,530"
"T2L","14,353","6,689","6,142"
"T2M","20,475","9,760","8,989"
"T2N","25,807","13,130","11,865"
"T2P","14,347","9,867","8,261"
"T2R","17,743","13,181","11,615"
"T2S","14,781","8,747","7,964"
"T2T","30,791","16,539","15,129"
"T2V","32,631","15,618","14,792"
"T2W","39,827","16,823","16,324"
"T2X","54,683","19,797","19,306"
"T2Y","60,196","21,448","20,946"
"T2Z","69,025","25,217","24,716"
"T3A","51,236","19,432","18,800"
"T3B","38,129","17,084","15,964"
"T3C","24,145","12,822","11,668"
"T3E","42,336","19,562","18,441"
"T3G","57,196","21,032","20,582"
"T3H","72,004","26,491","25,548"
"T3J","78,834","22,350","21,113"
"T3K","79,143","27,820","27,119"
"T3L","30,024","10,546","10,278"
"T3M","56,701","20,745","19,899"
"T3N","33,539","10,566","9,982"
"T3P","27,666","8,992","8,693"
"T3R","34,957","11,849","11,443"
"T3S","288","121","117"
"T3Z","10,596","3,730","3,563"
"T4A","19,940","7,439","7,190"
"T4B","58,053","21,015","20,461"
"T4C","37,325","14,724","13,967"
"T4E","5,229","2,091","1,940"
"T4G","13,368","6,073","5,126"
"T4H","11,831","5,163","4,792"
"T4J","11,390","4,758","4,464"
"T4L","17,145","7,055","6,599"
"T4M","7,754","2,851","2,739"
"T4N","30,584","15,796","14,234"
"T4P","33,759","13,583","12,855"
"T4R","37,024","14,372","13,755"
"T4S","20,586","9,284","8,149"
"T4T","13,296","5,549","5,131"
"T4V","20,160","9,281","8,670"
"T4X","26,447","9,122","8,790"
"T5A","34,427","14,270","13,361"
"T5B","15,373","8,185","7,119"
"T5C","15,937","6,558","6,099"
"T5E","33,607","13,556","12,635"
"T5G","12,873","6,855","5,813"
"T5H","25,367","16,659","13,802"
"T5J","6,288","5,654","4,013"
"T5K","22,440","16,632","14,330"
"T5L","16,755","7,206","6,635"
"T5M","15,462","7,919","7,127"
"T5N","14,713","8,006","7,166"
"T5P","20,475","10,341","9,251"
"T5R","24,643","10,373","9,849"
"T5S","7,731","3,017","2,922"
"T5T","77,839","30,147","28,883"
"T5V","146","62","58"
"T5W","20,047","9,056","8,332"
"T5X","42,643","16,015","15,347"
"T5Y","54,437","19,752","18,777"
"T5Z","34,199","12,095","11,655"
"T6A","14,477","6,772","6,311"
"T6B","9,291","4,284","4,058"
"T6C","20,242","10,541","9,676"
"T6E","22,893","14,444","12,539"
"T6G","11,502","6,474","5,327"
"T6H","27,878","13,289","11,957"
"T6J","45,386","19,657","18,432"
"T6K","28,047","10,871","10,236"
"T6L","49,215","18,756","17,867"
"T6M","33,889","12,285","11,830"
"T6N","28","12","12"
"T6P","1,806","867","825"
"T6R","45,153","16,866","16,139"
"T6S","23","6","6"
"T6T","48,823","14,583","14,087"
"T6V","23,107","7,492","7,239"
"T6W","83,496","32,278","30,347"
"T6X","50,392","17,019","16,318"
"T6Y","232","102","95"
"T7A","11,412","4,934","4,488"
"T7E","13,720","6,005","5,404"
"T7N","7,176","3,107","2,922"
"T7P","7,183","3,306","2,988"
"T7S","11,873","5,044","4,579"
"T7V","10,315","4,597","4,191"
"T7X","47,506","18,350","17,732"
"T7Y","17,057","6,363","6,025"
"T7Z","18,929","7,870","7,505"
"T8A","42,146","16,315","15,942"
"T8B","7,075","2,654","2,557"
"T8C","4,406","1,601","1,550"
"T8E","8,247","3,046","2,955"
"T8G","4,784","1,891","1,801"
"T8H","31,062","12,161","11,827"
"T8L","29,258","11,748","11,207"
"T8N","68,213","27,014","25,933"
"T8R","15,960","6,090","5,734"
"T8S","7,930","3,397","2,989"
"T8T","7,283","2,530","2,379"
"T8V","31,632","15,108","13,294"
"T8W","21,556","8,107","7,553"
"T8X","24,187","9,164","8,548"
"T9A","15,093","6,665","6,142"
"T9C","6,656","3,177","2,866"
"T9E","34,385","13,641","13,085"
"T9G","6,969","2,788","2,668"
"T9H","26,075","11,899","9,860"
"T9J","3,776","1,680","1,378"
"T9K","40,909","16,052","14,119"
"T9M","18,238","7,706","7,000"
"T9N","9,439","4,101","3,651"
"T9S","6,360","3,330","2,629"
"T9V","20,751","8,928","8,009"
"T9W","8,091","3,463","3,208"
"T9X","5,403","2,579","2,237"
"V0A","16,077","10,472","7,111"
"V0B","36,123","20,712","15,777"
"V0C","26,463","12,878","10,529"
"V0E","72,013","39,107","30,989"
"V0G","26,940","14,266","12,332"
"V0H","58,479","32,379","26,061"
"V0J","51,918","24,434","21,122"
"V0K","33,615","19,913","15,435"
"V0L","4,849","2,729","2,035"
"V0M","12,420","5,617","4,881"
"V0N","71,423","39,578","31,745"
"V0P","7,335","4,590","3,540"
"V0R","72,310","36,491","31,182"
"V0S","366","420","176"
"V0T","9,032","4,777","3,884"
"V0V","1,894","945","685"
"V0W","503","539","289"
"V0X","22,683","11,756","9,815"
"V1A","9,024","4,706","3,991"
"V1B","23,425","9,993","8,931"
"V1C","26,195","11,418","11,013"
"V1E","21,397","9,327","8,886"
"V1G","15,116","7,308","6,399"
"V1H","14,999","8,036","6,692"
"V1J","24,491","11,169","9,913"
"V1K","9,352","4,276","3,920"
"V1L","17,641","8,639","7,855"
"V1M","31,417","11,591","11,274"
"V1N","13,357","6,009","5,663"
"V1P","9,656","3,687","3,508"
"V1R","10,295","5,083","4,800"
"V1S","13,262","5,189","5,029"
"V1T","30,436","14,529","13,854"
"V1V","26,732","12,545","11,285"
"V1W","38,374","16,616","15,663"
"V1X","35,151","14,825","14,181"
"V1Y","39,050","21,289","19,337"
"V1Z","16,552","7,312","6,545"
"V2A","40,489","20,112","18,931"
"V2B","41,642","17,582","16,867"
"V2C","27,038","12,668","11,938"
"V2E","15,962","6,264","6,089"
"V2G","18,200","8,371","7,755"
"V2H","7,060","3,142","2,998"
"V2J","22,680","10,650","9,954"
"V2K","21,556","8,977","8,606"
"V2L","10,101","5,216","4,660"
"V2M","23,763","10,807","10,237"
"V2N","33,870","14,062","13,198"
"V2P","39,075","16,842","16,136"
"V2R","55,505","22,496","21,373"
"V2S","52,492","21,544","20,716"
"V2T","60,078","20,545","19,541"
"V2V","36,155","13,494","12,554"
"V2W","23,673","7,807","7,528"
"V2X","50,279","20,632","19,957"
"V2Y","46,971","17,430","16,466"
"V2Z","16,209","6,158","5,909"
"V3A","46,299","19,798","18,921"
"V3B","61,396","24,786","23,865"
"V3C","39,448","15,336","14,815"
"V3E","42,030","14,563","13,929"
"V3G","26,939","9,296","8,914"
"V3H","37,339","14,946","14,394"
"V3J","44,558","19,122","18,228"
"V3K","31,181","12,603","11,893"
"V3L","30,988","14,760","14,222"
"V3M","47,927","22,977","21,877"
"V3N","41,405","16,270","15,563"
"V3R","61,436","21,673","20,795"
"V3S","104,997","33,851","32,316"
"V3T","45,514","19,589","18,442"
"V3V","50,873","15,385","14,438"
"V3W","95,970","29,435","28,006"
"V3X","33,054","10,041","9,511"
"V3Y","19,414","7,719","7,477"
"V3Z","38,837","14,521","13,772"
"V4A","38,036","16,093","15,426"
"V4B","21,828","11,417","10,675"
"V4C","48,434","15,940","15,079"
"V4E","12,280","4,065","3,927"
"V4G","72","34","30"
"V4K","25,193","10,009","9,705"
"V4L","7,874","3,666","3,508"
"V4M","16,805","7,090","6,726"
"V4N","86,011","28,973","27,608"
"V4P","13,950","5,760","5,511"
"V4R","17,038","5,817","5,622"
"V4S","7,922","2,738","2,642"
"V4T","31,700","14,223","13,332"
"V4V","17,726","7,885","7,163"
"V4W","21,246","7,646","7,290"
"V4X","14,365","4,394","4,178"
"V4Z","5,777","2,013","1,885"
"V5A","25,403","10,445","9,726"
"V5B","22,577","9,000","8,543"
"V5C","37,684","17,958","16,918"
